Label	 POINTS	SEASONAL	pH	DISSOLVED OXYGEN	CONDUCTIVITY	TDS 	SALINITY	TEMPERATURE  	TRANSPARENCY	RAIN	PHOSPHATE	SILICATE	NITRATE	NITRITE	AMMONIA	CHLOROPHYLL-a	NANO	MICRO	SHANNON	PIELOU	MARGALEF	ABUNDANCE	DIN:DIP	DIN:DSi	DSi:DIP
MAIP1	1	RAINY	7,76	4,54	11700	5852	6,61	30,93	50	183,7	2,54	58	4,1	1,95	0,28	15,1	7,24	7,86	1,832	0,3905	3,376	204564,4	2,5	0,11	22,8
MAIP2	2	RAINY	7,38	5,4	99	49	0,04	30,8	92	183,7	1,68	68,42	2,23	0,76	0,83	9,96	8,28	1,67	0,8941	0,3056	1,576	204564,4	2,3	0,06	40,6
MAIP3	3	RAINY	7,08	5,42	90	45	0,04	30,7	56	183,7	0,92	60,67	5,21	0,62	0,79	16,31	7,9	8,41	2,209	0,6507	3,175	144398,4	7,2	0,11	66
MAIP4	4	RAINY	6,9	5,47	95	48	0,04	31,19	53	183,7	1,59	79,12	1,81	0,54	0,65	10,52	8,49	2,02	3,072	0,6169	6,199	580000,24	1,9	0,04	49,7
MAIP5	5	RAINY	7,19	5,87	103	52	0,05	31,57	82	183,7	1,07	79,65	0,59	0,46	0,46	12,67	10,46	2,21	1,185	0,6539	1,259	57759,36	1,4	0,02	74,3
JUNP1	1	RAINY	7,42	3,46	18246	9130	10,72	30,08	13	196,2	2,2	45,28	2,11	1,9	0,43	11,37	6,58	4,79	2,056	0,8679	2,717	45726,16	2	0,1	20,5
JUNP2	2	RAINY	7,52	5,31	129,33	65	0,06	30,77	50	196,2	0,86	74,57	2,45	0,56	0,78	15,66	11,16	4,5	2,035	0,5101	2,854	324896,4	4,4	0,05	87
JUNP3	3	RAINY	7,25	4,75	93	46	0,04	30,86	80	196,2	1,01	82,06	1,84	0,53	0,96	61,34	17,38	43,96	0,6625	0,194	1,765	394688,96	3,3	0,04	81,2
JUNP4	4	RAINY	7,12	4,76	94,66	47	0,04	31	70	196,2	1,22	86,06	0,88	0,65	0,76	17,09	13,11	3,98	1,404	0,3391	2,607	163651,52	1,9	0,03	70,3
JUNP5	5	RAINY	7,1	5,22	95	47	0,04	31,25	67	196,2	1,78	88,74	0,51	0,35	0,59	19,17	16,88	2,29	2,211	0,5369	3,741	173278,08	0,8	0,02	50
SETP1	1	DRY	7,77	4,5	37410	18700	23,57	29,59	37	2,7	0,8	49,98	4,51	0,85	0,22	15,97	5	10,97	2,024	0,5822	2,754	187717,92	7	0,11	62,8
SETP2	2	DRY	7,16	6,42	72,33	36	0,03	31,2	41	2,7	0,15	62,28	1,76	0,04	0,26	8,41	5,16	3,25	1,388	0,3084	2,339	406722,16	13,5	0,03	406,8
SETP3	3	DRY	7,52	6,98	68	34	0,03	31,4	50	2,7	0,09	55,06	1,81	0,01	0,25	37,26	11,08	26,18	1,204	0,1852	2,888	866390,4	22,6	0,04	599,4
SETP4	4	DRY	7,4	7,3	66	33	0,03	31,81	86	2,7	0,06	58,8	1,79	0,13	0,39	15,49	6,67	8,82	1,305	0,4607	1,489	264730,4	37,8	0,04	960,2
SETP5	5	DRY	7,11	5,4	67	33	0,03	32,24	96	2,7	0,03	65,22	2,1	0,19	0,41	7,77	2,87	4,9	2,234	0,7184	2,955	139585,12	87,8	0,04	2129,9
OUTP1	1	DRY	7,96	6,08	9836	6729	7,7	29,8	37	54,1	0,06	44,98	2,34	0,16	0,29	5,31	2,12	3,2	2,106	0,8214	2,511	86639,04	45,4	0,06	734,5
OUTP2	2	DRY	8,07	6,91	67	33	0,03	30,7	40	54,1	0,03	81,52	1,28	0,07	0,22	18,18	7,29	10,89	0,7951	0,5537	0,6846	192531,2	51,2	0,02	2662,3
OUTP3	3	DRY	7,48	5,81	65	32	0,03	31,15	69	54,1	0,28	89,81	1,4	0,01	0,11	21,95	13,54	8,42	1,479	0,3656	2,063	498174,48	5,5	0,02	325,9
OUTP4	4	DRY	7,29	5,15	70	35	0,03	31,29	70	54,1	0,06	102,13	2,51	0,01	0,48	13,45	7,21	6,24	0,633	0,6278	0,6792	45726,16	48,9	0,03	1667,7
OUTP5	5	DRY	7,32	4,96	78	39	0,03	31,44	93	54,1	0,03	86,87	2,14	0,01	0,26	11,48	5,24	6,24	1,664	0,4401	2,331	269543,68	78,8	0,03	2836,9
NOVP1	1	DRY	7,85	5	36575	18380	23,11	30,06	14	0	0,43	30,55	3,74	0,55	0,2	7,64	3,41	4,22	1,745	0,9541	1,618	52946,08	10,5	0,15	71,3
NOVP2	2	DRY	8,64	6,59	107	53	0,05	30,52	30	0	0,03	27,08	1,92	0,04	0,28	6,84	5,09	1,75	1,558	0,4749	2,164	154024,96	73,2	0,08	884,2
NOVP3	3	DRY	8,09	6,37	68,33	34	0,03	30,9	50	0	0,03	49,31	1,91	0,12	0,22	45,54	15,14	30,4	0,3848	0,1837	1,44	310456,56	73,5	0,05	1610,5
NOVP4	4	DRY	8,05	6,43	66	33	0,03	31	53	0	0,03	43,3	1,98	0,08	0,18	42,55	27,28	15,27	1,048	0,2376	1,956	666639,28	73,2	0,05	1414,1
NOVP5	5	DRY	7,73	5,74	65	32	0,03	31,26	66	0	0,06	89,54	1,83	0,02	0,24	8,91	2,79	6,11	1,838	0,5715	2,181	235850,72	34,2	0,02	1462,1
DEZP1	1	DRY	7,49	5,57	1801	79,73	9,26	29,68	69	47,7	0,03	0,98	0,11	0,08	0,04	5,88	4,2	1,68	1,62	0,8422	1,553	60166	7,9	0,22	35
DEZP2	2	DRY	8,1	6,51	64,67	32,33	0,03	30,31	67	47,7	0	1,12	0,08	0,08	0,04	20,8	5,8	15	1,016	0,2761	1,735	430788,56	54,3	0,17	320
DEZP3	3	DRY	7,86	6,02	60	30	0,03	30,66	76	47,7	0,01	1,37	0,07	0,08	0,05	32,82	10,54	22,28	0,7569	0,2132	1,538	837510,72	22,1	0,15	151,7
DEZP4	4	DRY	7,82	5,74	65	32,33	0,03	30,7	96	47,7	0,01	0,71	0,17	0,07	0,03	19,26	7,9	11,36	1,465	0,3935	1,775	673859,2	20,3	0,39	52,2
DEZP5	5	DRY	7,58	5,57	62,3	31	0,03	30,92	97	47,7	0	1,1	0,09	0,08	0,03	9,84	8,37	1,47	1,588	0,6989	1,688	84232,4	48,8	0,18	275,1
